iterace, aco, random
15,8070,24748
16,8070,24748
17,8070,24748
18,8070,24748
19,8070,24748
20,8070,24748
21,8070,24748
22,8070,24748
23,8070,24748
24,8070,24748
25,8070,24688
26,8070,24688
27,8070,24688
28,8070,24688
29,8070,24402
30,8070,24402
31,8070,24402
32,8070,24402
33,8070,24402
34,8070,24402
35,8070,24402
36,8070,24402
37,8070,24402
38,8070,24402
39,8070,24402
40,8070,24402
41,8070,24402
42,8070,24402
43,8070,24402
44,8070,24402
45,8070,24402
46,8070,24402
47,8070,24402
48,8070,24402
49,8070,24402
0,12044,25546
1,11562,25546
2,10440,25476
3,9374,25476
4,9374,25476
5,8626,25476
6,8626,25015
7,8626,25015
8,8626,25015
9,8626,25015
10,8442,25015
11,8326,25015
12,8044,25015
13,8044,25015
14,8044,25015
15,8044,25015
16,8044,25015
17,8044,25015
18,8023,25015
19,8023,25015
20,8023,25015
21,8023,25015
22,8023,25015
23,8023,25015
24,8023,25015
25,8023,25015
26,8023,25015
27,8023,25015
28,8023,25015
29,8023,25015
30,8023,25015
31,8023,25015
32,8023,25015
33,8023,25015
34,8023,25015
35,8023,25015
36,8023,25015
37,8023,25015
38,8023,25015
39,8023,25015
40,8023,25015
41,8023,25015
42,7953,25015
43,7953,25015
44,7953,25015
45,7953,25015
46,7953,25015
47,7953,25015
48,7953,25015
49,7953,25015
0,11940,25193
1,11399,25193
2,10746,25193
3,9594,25193
4,8432,25193
5,8432,25193
6,8432,25193
7,8432,25193
8,8432,24943
9,8432,24943
10,8432,24943
11,8432,24943
12,8432,24943
13,8432,24943
14,7923,24943
15,7923,24943
16,7923,24943
17,7923,24943
18,7923,24589
19,7923,24589
20,7923,24589
21,7923,24589
22,7923,24589
23,7923,24589
24,7790,24589
25,7790,24589
26,7790,24589
27,7790,24589
28,7790,24589
29,7790,24589
30,7790,24589
31,7790,24589
32,7790,24589
33,7790,24589
34,7790,24589
35,7790,24589
36,7790,24589
37,7790,24589
38,7790,24589
39,7790,24589
40,7790,24589
41,7790,24589
42,7790,24589
43,7790,24589
44,7790,24589
45,7790,24589
46,7790,24589
47,7790,24589
48,7790,24589
49,7790,24589
0,11891,26604
1,10791,26604
2,10446,25319
3,9349,25319
4,8888,25319
5,8888,25319
6,8739,25319
7,8153,25319
8,8153,25319
9,8153,25319
10,8153,25319
11,8153,25319
12,8153,25319
13,8153,25319
14,8153,25319
15,8153,25319
16,8153,25319
17,8153,25319
18,8153,25279
19,7840,25279
20,7840,24595
21,7840,24595
22,7840,24595
23,7840,24595
24,7840,24595
25,7840,24595
26,7840,24595
27,7840,24595
28,7840,24595
29,7840,24595
30,7840,24595
31,7840,24595
32,7840,24595
33,7840,24595
34,7840,24595
35,7840,24595
36,7840,24595
37,7840,24595
38,7840,24595
39,7840,24595
40,7840,24595
41,7809,24595
42,7809,24595
43,7809,24518
44,7809,24518
45,7809,24518
46,7809,24518
47,7809,24518
48,7809,24518
49,7809,24518
0,12783,26058
1,10854,26058
2,10558,26058
3,9456,23996
4,9283,23996
5,8723,23996
6,8723,23996
7,8610,23996
8,8610,23996
9,8610,23996
10,8610,23996
11,8610,23996
12,8500,23996
13,8110,23996
14,8110,23996
15,8110,23996
16,8110,23996
17,8110,23996
